worker_id,latitude,longitude,rainfall_mm,orders_accepted,orders_completed,is_active,gps_movement_km,rejected_orders,session_interactions,distance_from_event,claim_count_last_7_days,weather_api_1_mm,weather_api_2_mm,weather_api_3_mm,weather_disagreement_mm,claim_hour,trigger_met,location_check_pass,behavior_check_pass,activity_check_pass,activity_failed_checks,activity_validation_score,activity_validation_reasons,passive_presence_flag,official_data_check_pass,calculated_distance_km,gps_spoof_flag,duplicate_claim_flag,time_pattern_flag,fraud_label
2316,12.991003754739886,77.64345424517253,80.03,9,3,1,8.6,8,33,5.69,1,82.52,79.6,77.96,4.56,14,1,0,1,0,1,0.8,too many rejected orders,0,1,5.72,0,0,0,0
3439,12.981135534993497,77.56267417180854,70.31,4,0,0,1.01,5,16,3.54,1,67.87,66.97,76.08,9.11,21,1,1,1,0,1,0.8,worker not logged in,0,1,3.62,0,0,0,0
2839,12.968055442189874,77.59120040796253,67.31,6,0,1,2.45,7,16,0.0,1,63.57,72.11,66.26,8.54,7,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,0.54,0,0,0,0
2902,12.954381666661522,77.59944151758654,93.78,8,2,1,6.84,8,17,2.1,1,89.95,93.03,98.36,8.41,14,1,1,1,0,1,0.8,too many rejected orders,0,1,1.99,0,0,0,0
2793,13.0034617612208,77.65565212799946,29.71,10,7,1,21.71,5,44,7.12,1,32.41,29.26,27.45,4.96,20,0,0,1,0,1,0.8,too many rejected orders,0,0,7.5,0,0,0,0
2965,12.962166630247433,77.61210070853468,65.36,8,5,1,17.12,4,29,2.31,0,56.63,72.46,66.99,15.83,2,1,1,1,1,0,1.0,genuine activity verified,0,1,2.17,0,0,1,0
2283,12.959332108486963,77.60165170484386,67.18,6,0,1,0.12,8,24,1.16,0,70.45,61.04,70.07,9.41,11,1,1,1,0,3,0.4,no deliveries completed; gps movement too low; too many rejected orders,0,1,1.56,0,0,0,1
1320,12.975787601195526,77.58660481651607,78.66,9,2,1,4.75,8,22,1.61,0,73.11,74.64,88.22,15.11,10,1,1,1,0,1,0.8,too many rejected orders,0,1,0.98,0,0,0,0
3099,13.039463467318834,77.59257771856582,9.86,0,0,1,0.16,10,0,7.74,6,13.32,12.14,4.12,9.2,10,0,0,0,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,7.55,0,1,1,1
2125,12.917985751679153,77.64678368342713,32.41,0,0,1,0.0,6,2,9.02,0,26.01,33.31,37.92,11.91,3,0,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,8.22,0,0,1,1
2250,13.002394275722216,77.5947482140319,41.53,12,9,1,21.3,3,52,3.07,0,36.64,49.53,38.43,12.9,16,0,0,1,1,0,1.0,genuine activity verified,0,1,3.42,0,0,0,0
1926,12.987048693456584,77.62038371182045,43.71,0,0,1,0.12,10,0,3.82,0,41.75,51.46,37.93,13.54,10,0,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,3.28,0,0,0,1
1456,12.980290926329145,77.57201971337545,78.49,7,3,1,7.18,5,25,2.0,0,83.27,71.15,81.06,12.12,7,1,1,1,0,1,0.8,too many rejected orders,0,1,2.63,0,0,0,0
3316,13.106365625312348,77.66451435988013,85.22,7,0,1,1.51,7,25,16.86,1,84.48,84.17,87.03,2.86,23,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,16.79,1,0,1,1
2953,12.991146740978692,77.5385161601583,6.37,6,5,0,12.19,0,33,6.23,1,0.0,19.1,0.0,19.1,17,0,0,1,0,1,0.8,worker not logged in,0,0,6.45,0,0,0,1
2609,12.978425003141592,77.56458498766695,31.06,11,11,0,24.96,1,61,3.18,0,35.68,29.69,27.83,7.85,10,0,0,1,0,1,0.8,worker not logged in,0,0,3.34,0,0,0,0
2006,12.949182021247877,77.654536811026,2.43,0,0,1,0.08,10,2,6.78,0,6.79,0.0,0.49,6.79,7,0,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,6.96,0,0,0,1
3056,12.972841888019543,77.5863360295773,41.48,11,8,0,23.48,5,47,0.59,0,52.01,27.09,45.35,24.92,20,0,0,1,0,1,0.8,worker not logged in,0,0,0.91,0,0,0,1
2363,13.053447826335237,77.73904394531039,68.38,4,0,1,1.44,7,15,17.66,1,71.03,70.73,63.37,7.66,18,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,18.1,0,0,0,1
2108,13.023223766274986,77.5796098777815,25.4,5,3,1,7.91,2,22,5.81,0,20.83,29.08,26.28,8.24,11,0,0,1,1,0,1.0,genuine activity verified,0,0,5.97,0,0,0,1
2126,12.960004975381006,77.61733245235864,84.33,11,2,1,7.2,10,34,2.82,1,78.23,90.94,83.81,12.71,18,1,1,1,0,1,0.8,too many rejected orders,0,1,2.78,0,0,0,0
1568,12.979535246425058,77.58814589182523,60.36,15,8,1,27.72,10,59,1.53,0,55.47,56.36,69.26,13.79,16,1,1,1,0,1,0.8,too many rejected orders,0,1,1.13,0,0,0,0
1230,12.940911317258776,77.57534239908438,68.38,6,1,1,3.18,5,16,4.1,0,69.55,67.54,68.05,2.01,0,1,1,1,0,1,0.8,too many rejected orders,0,1,4.0,0,0,1,0
2386,12.939348727172613,77.60183839829685,83.64,7,0,1,2.24,7,25,4.08,2,82.13,79.15,89.64,10.49,14,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,3.67,0,0,0,0
3219,12.917190262496314,77.57476698984752,47.85,8,3,1,12.93,7,38,5.9,0,43.86,49.62,50.05,6.19,18,0,0,1,0,1,0.8,too many rejected orders,0,1,6.42,0,0,0,1
1159,12.987229001043556,77.50964500320447,67.94,8,0,0,2.54,9,22,9.22,0,74.73,64.44,64.67,10.29,15,1,0,1,0,1,0.8,worker not logged in,0,1,9.37,0,0,0,0
3145,12.993412930478684,77.63148991764687,79.91,10,3,1,7.36,8,33,4.92,1,79.51,81.17,79.06,2.11,14,1,1,1,0,1,0.8,too many rejected orders,0,1,4.68,0,0,0,0
3069,12.98086641776946,77.60432070245393,24.07,6,5,1,13.78,3,24,1.59,1,29.07,18.24,24.91,10.83,13,0,0,1,1,0,1.0,genuine activity verified,0,0,1.47,0,0,0,0
1691,13.105129404551842,77.6381303472546,57.04,2,0,1,0.04,4,11,15.28,2,67.61,47.44,56.06,20.17,8,1,0,1,0,2,0.6,no deliveries completed; gps movement too low,0,0,15.58,0,0,0,1
2579,13.015091636228826,77.62008647198999,30.98,9,5,1,16.51,5,33,5.9,2,16.56,35.6,40.77,24.22,14,0,0,1,0,1,0.8,too many rejected orders,0,0,5.57,0,0,0,1
1413,12.987280437494631,77.53580569935572,16.78,10,9,1,21.4,3,44,6.42,2,21.25,16.18,12.89,8.36,9,0,0,1,1,0,1.0,genuine activity verified,0,0,6.6,0,0,0,1
2895,12.983753497025504,77.60355570828273,62.57,10,4,1,14.9,6,37,1.39,0,63.5,66.73,57.48,9.25,9,1,1,1,0,1,0.8,too many rejected orders,0,1,1.66,0,0,0,0
2751,12.967938399223272,77.65913763840902,22.14,10,5,1,23.81,7,40,7.18,3,21.01,19.93,25.47,5.55,8,0,0,0,0,1,0.8,too many rejected orders,0,0,7.01,0,0,0,1
1886,12.950367126874815,77.60272665906965,34.16,8,3,1,7.9,8,29,2.52,0,32.59,40.63,29.27,11.36,12,0,0,1,0,1,0.8,too many rejected orders,0,0,2.52,0,0,0,0
1169,13.060166104631676,77.53928953575628,71.85,6,0,1,1.22,8,17,11.34,1,67.0,74.98,73.57,7.99,12,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,11.53,1,0,0,1
3426,12.95352196080586,77.60360466908153,41.67,7,6,1,14.2,2,36,2.04,0,33.19,50.24,41.57,17.05,15,0,0,1,1,0,1.0,genuine activity verified,0,1,2.23,0,0,0,1
2114,12.944964891555182,77.59246628151013,77.33,6,0,1,1.71,9,17,2.6,1,71.1,83.24,77.64,12.13,11,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,2.97,0,0,0,0
3232,12.988960392938004,77.62916174504296,74.2,5,0,0,1.11,6,11,4.07,2,68.96,76.29,77.35,8.39,12,1,1,1,0,1,0.8,worker not logged in,0,1,4.21,0,0,0,1
2694,12.9816741766118,77.61886932709646,69.24,7,1,1,4.12,8,23,3.24,1,69.92,65.12,72.66,7.54,9,1,1,1,0,1,0.8,too many rejected orders,0,1,2.86,0,0,0,0
2945,12.915408338095588,77.47516709863561,19.99,8,1,1,4.45,10,25,14.46,1,29.17,20.24,10.57,18.6,17,0,0,1,0,1,0.8,too many rejected orders,0,0,14.37,0,0,0,1
2899,13.01650713018255,77.61640968817714,43.98,2,0,1,0.49,3,10,5.86,2,48.76,37.04,46.14,11.72,2,0,0,1,0,2,0.6,no deliveries completed; gps movement too low,0,1,5.52,0,0,1,1
1486,12.967832216985967,77.55446082361983,30.1,12,9,1,26.99,5,40,4.55,0,42.46,22.4,25.44,20.07,6,0,0,1,0,1,0.8,too many rejected orders,0,0,4.37,0,0,0,0
1909,13.025597815607233,77.5679657710422,11.8,5,4,0,9.02,1,21,6.45,1,11.0,24.41,0.0,24.41,11,0,0,1,0,1,0.8,worker not logged in,0,0,6.66,0,0,0,1
2166,13.019151364574155,77.58706106358505,69.9,6,2,1,4.93,4,20,4.77,0,77.45,65.73,66.51,11.72,10,1,1,1,1,0,1.0,genuine activity verified,0,1,5.35,0,0,0,0
2244,12.996627022863846,77.6110388443612,71.72,10,4,1,11.62,6,31,2.98,1,76.59,64.22,74.35,12.37,12,1,1,1,0,1,0.8,too many rejected orders,0,1,3.3,0,0,0,0
1109,12.921018320322084,77.52897061558852,64.78,0,0,1,0.0,10,1,8.83,0,64.2,72.01,58.13,13.88,3,1,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,9.07,0,0,1,1
2366,13.04268731361031,77.62278305668231,44.23,15,7,1,19.35,8,62,8.21,1,43.21,37.39,52.11,14.72,11,0,0,1,0,1,0.8,too many rejected orders,0,1,8.47,0,0,0,1
1385,13.108749934619716,77.7011184968782,29.11,9,3,1,9.52,7,33,19.47,2,23.32,33.29,30.73,9.97,17,0,0,1,0,1,0.8,too many rejected orders,0,0,19.12,0,0,0,0
2858,12.971192155374998,77.59647904785199,55.09,6,3,1,5.16,4,30,0.55,1,54.1,47.53,63.64,16.12,12,1,1,1,1,0,1.0,genuine activity verified,0,1,0.21,0,0,0,0
2707,13.124837294841806,77.6492184534958,81.17,8,0,1,2.84,8,14,18.81,1,82.8,76.87,83.84,6.97,4,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,18.04,1,0,1,0
3306,12.977971911353187,77.55542487983243,99.36,9,3,1,9.07,5,30,4.04,2,95.4,102.33,100.35,6.93,10,1,1,1,0,1,0.8,too many rejected orders,0,1,4.3,0,0,0,0
2861,12.970476676995839,77.63563728526321,70.7,4,0,1,0.0,4,13,5.01,0,68.81,66.26,77.02,10.76,13,1,0,1,0,2,0.6,no deliveries completed; gps movement too low,0,1,4.45,0,0,0,1
1916,12.94518799535912,77.53415109254017,58.82,6,2,1,4.9,4,18,7.74,4,56.87,53.81,65.77,11.96,10,1,0,0,1,0,1.0,genuine activity verified,0,1,7.18,0,1,0,1
3418,12.994874017572284,77.63717881843277,58.46,6,2,1,5.36,7,22,5.21,0,62.77,61.78,50.83,11.94,8,1,0,1,0,1,0.8,too many rejected orders,0,1,5.29,0,0,0,1
2027,12.99066411869296,77.58799203363478,90.52,3,0,0,0.0,4,10,2.4,0,90.23,88.02,93.3,5.28,9,1,1,1,0,1,0.8,worker not logged in,0,1,2.24,0,0,0,0
1814,12.972187205595588,77.59076662001428,47.9,9,5,1,16.25,7,39,0.85,3,46.88,52.96,43.85,9.11,7,0,0,0,0,1,0.8,too many rejected orders,0,1,0.42,0,0,0,1
3263,12.940000545845296,77.52627649178346,109.45,0,0,1,0.09,7,2,8.17,2,108.28,105.75,114.32,8.57,11,1,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,8.2,1,0,0,1
1926,12.976797194166643,77.58873133479486,40.74,0,0,1,0.15,10,2,0.81,3,28.05,47.76,46.42,19.71,0,0,0,0,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,0,0.86,0,0,1,1
1190,12.968808048569516,77.61914342064046,113.84,6,0,1,0.51,7,13,2.46,0,106.17,120.89,114.46,14.73,17,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,2.68,0,0,0,0
2173,12.918261027250633,77.54114359648592,85.22,4,0,0,0.84,4,15,7.46,0,87.9,99.49,68.27,31.23,9,1,0,1,0,1,0.8,worker not logged in,0,0,8.29,0,0,0,1
2989,12.912727505947034,77.61454543469007,61.17,9,3,1,12.24,7,29,6.92,2,50.96,70.24,62.32,19.28,21,1,0,1,0,1,0.8,too many rejected orders,0,0,6.89,0,0,0,1
1473,12.99420613515239,77.59816049014717,74.89,8,0,1,2.49,9,26,2.29,0,82.64,76.82,65.21,17.42,3,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,2.54,0,0,1,0
2157,12.867524467397933,77.56884977544671,89.64,0,0,1,0.0,7,1,11.53,0,89.8,90.06,89.07,1.0,19,1,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,11.9,1,0,0,1
1324,13.077852896608197,77.68188794591369,57.09,6,0,0,1.34,5,17,15.28,3,52.96,59.73,58.59,6.77,3,1,0,0,0,1,0.8,worker not logged in,0,1,15.13,0,0,1,1
2716,12.952476677689848,77.50650972924086,47.64,8,1,1,5.52,10,18,9.27,1,52.19,36.37,54.36,17.99,17,0,0,1,0,1,0.8,too many rejected orders,0,1,9.78,0,0,0,0
2189,13.023929864275196,77.60846722994975,18.93,8,5,1,16.23,5,34,6.29,0,22.98,16.6,17.19,6.38,14,0,0,1,0,1,0.8,too many rejected orders,0,0,6.01,0,0,0,1
1825,12.951861271633845,77.65937740632293,55.21,6,0,0,2.61,6,21,7.52,4,52.58,68.3,44.73,23.57,15,1,0,0,0,1,0.8,worker not logged in,0,0,7.35,0,1,0,1
1567,12.997979368570077,77.65219772556402,82.66,3,0,1,0.0,4,11,6.76,1,87.61,80.14,80.23,7.47,10,1,0,1,0,2,0.6,no deliveries completed; gps movement too low,0,1,6.9,0,0,0,1
2411,12.955723446350488,77.61019226882154,59.76,9,4,1,12.48,6,36,2.42,4,62.29,54.26,62.71,8.45,1,1,1,0,0,1,0.8,too many rejected orders,0,1,2.44,0,1,1,1
2674,12.976149926139446,77.58253276895476,75.02,0,0,1,0.16,9,2,0.99,1,79.4,68.87,76.79,10.52,13,1,1,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,1.4,0,0,0,1
3350,13.001073461236803,77.5691678977381,82.47,13,7,1,21.23,7,53,4.54,2,84.48,90.71,72.21,18.49,11,1,1,1,0,1,0.8,too many rejected orders,0,0,4.28,0,0,0,0
2092,12.953097771347018,77.58248296824378,29.2,2,2,1,2.26,1,8,2.51,0,22.89,42.16,22.56,19.6,10,0,0,1,1,0,1.0,genuine activity verified,0,0,2.44,0,0,0,0
1401,13.011462195379936,77.61635228991672,69.48,5,1,1,3.76,4,20,5.11,0,71.35,68.86,68.22,3.13,10,1,0,1,1,0,1.0,genuine activity verified,0,1,5.02,0,0,0,0
3081,12.931852084915741,77.56231024778162,75.85,9,3,1,11.16,7,26,5.81,0,78.3,78.88,70.38,8.5,19,1,0,1,0,1,0.8,too many rejected orders,0,1,5.64,0,0,0,1
2574,12.983383713702336,77.62489695272201,56.31,8,5,1,18.15,4,38,3.31,1,62.01,55.77,51.14,10.87,7,1,1,1,1,0,1.0,genuine activity verified,0,1,3.53,0,0,0,1
2750,13.008505588911515,77.67992642072014,88.07,0,0,1,0.21,10,1,9.58,1,89.0,85.96,89.23,3.27,18,1,0,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,10.11,1,0,0,1
1243,12.998001499671615,77.5921246705949,89.73,4,0,0,0.0,5,14,3.28,1,90.07,91.83,87.27,4.56,3,1,1,1,0,1,0.8,worker not logged in,0,1,2.95,0,0,1,1
1780,13.048257795069416,77.54082420786867,36.14,11,5,1,15.26,9,35,10.57,1,41.88,38.36,28.17,13.71,16,0,0,1,0,1,0.8,too many rejected orders,0,1,10.32,0,0,0,1
2919,12.941062427307575,77.54081021014734,106.19,7,0,0,1.1,8,15,6.56,1,95.4,122.15,101.02,26.75,10,1,0,1,0,1,0.8,worker not logged in,0,0,6.75,0,0,0,0
3080,12.993136450423764,77.76385362659929,59.98,5,0,1,0.92,5,12,18.64,0,54.82,66.79,58.33,11.96,7,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,18.49,0,0,0,0
2088,12.931826595660196,77.59221015284159,80.52,11,3,0,4.69,8,34,4.87,0,88.73,77.86,74.95,13.79,9,1,1,1,0,1,0.8,worker not logged in,0,1,4.43,0,0,0,1
3011,12.998017702661938,77.62967323584256,53.4,11,6,0,18.35,5,41,5.2,2,57.52,57.16,45.54,11.98,14,1,0,1,0,1,0.8,worker not logged in,0,1,4.8,0,0,0,1
3104,12.991516917370776,77.57325463003363,67.32,10,5,1,13.53,5,37,3.0,2,60.28,73.09,68.6,12.8,17,1,1,1,0,1,0.8,too many rejected orders,0,1,3.2,0,0,0,0
1968,12.975690266385897,77.6278249419016,70.12,10,6,1,16.16,7,52,3.11,0,72.19,69.16,69.0,3.18,15,1,1,1,0,1,0.8,too many rejected orders,0,1,3.63,0,0,0,0
3245,12.926681718035715,77.58826803306201,19.22,2,2,0,5.71,1,9,4.58,1,23.72,17.11,16.83,6.89,11,0,0,1,0,1,0.8,worker not logged in,0,0,5.04,0,0,0,1
1720,13.002274691733163,77.56529983778704,28.11,5,3,1,8.09,3,18,4.55,1,23.54,28.81,31.97,8.43,17,0,0,1,1,0,1.0,genuine activity verified,0,0,4.66,0,0,0,0
1598,12.92261180889398,77.5785600608479,63.11,4,0,1,0.82,4,10,6.23,0,64.59,57.66,67.08,9.42,8,1,0,1,0,1,0.8,no deliveries completed,0,1,5.72,0,0,0,1
2706,13.017957983295076,77.54671782578308,47.34,11,8,1,24.37,4,47,7.06,0,47.59,37.66,56.79,19.13,16,0,0,1,1,0,1.0,genuine activity verified,0,0,7.31,0,0,0,0
2591,13.085897536925595,77.67417438234327,63.93,4,0,1,0.0,3,18,15.15,1,66.85,58.41,66.53,8.44,13,1,0,1,0,2,0.6,no deliveries completed; gps movement too low,0,1,15.36,0,0,0,1
1349,12.986258045862863,77.59074472745766,54.08,0,0,1,0.01,10,0,1.47,0,61.24,49.78,51.21,11.45,20,1,1,1,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,1.68,0,0,0,0
3081,12.994924325426311,77.62038056354729,16.09,5,4,1,13.11,1,28,3.63,1,11.51,24.06,12.69,12.55,17,0,0,1,1,0,1.0,genuine activity verified,0,0,3.81,0,0,0,0
1499,12.951885609244178,77.57312523468516,71.12,8,0,1,0.54,11,24,3.19,0,71.01,72.64,69.7,2.94,14,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,3.2,0,0,0,0
3012,12.899191467156529,77.5525228871208,60.75,12,3,1,8.11,11,37,8.81,4,65.26,51.84,65.15,13.42,9,1,0,0,0,1,0.8,too many rejected orders,0,1,9.25,0,1,0,1
1018,12.947491225478792,77.58524477956328,88.66,13,5,1,11.71,10,43,3.25,0,90.87,93.82,81.29,12.53,8,1,1,1,0,1,0.8,too many rejected orders,0,1,2.87,0,0,0,0
2992,12.92788419035605,77.63864770133517,77.27,5,0,0,1.74,5,14,6.76,3,77.56,67.73,86.53,18.8,3,1,0,0,0,1,0.8,worker not logged in,0,0,6.81,0,0,1,1
2967,13.020459793931291,77.6775391132076,74.02,10,0,1,2.62,11,24,11.37,2,61.02,74.22,86.82,25.81,9,1,0,1,0,2,0.6,no deliveries completed; too many rejected orders,0,0,10.5,1,0,0,1
2950,13.040494397679826,77.55977872109082,73.31,0,0,1,0.0,8,2,8.13,3,76.61,72.54,70.78,5.83,10,1,0,0,0,5,0.0,logged in but accepted no orders; no deliveries completed; gps movement too low; too many rejected orders; too few session interactions,1,1,8.54,1,0,0,1
2662,12.982514500721031,77.60081856977476,93.98,5,0,1,0.36,5,16,1.94,2,89.93,109.34,82.67,26.68,18,1,1,1,0,3,0.4,no deliveries completed; gps movement too low; too many rejected orders,0,0,1.39,0,0,0,0
2178,12.98678750322456,77.6145609040287,28.24,7,5,1,15.81,2,32,3.23,0,27.19,29.5,28.03,2.31,3,0,0,1,1,0,1.0,genuine activity verified,0,0,2.74,0,0,1,0
2762,12.95923910539215,77.66031392675413,30.39,14,9,1,19.12,6,60,7.11,3,24.25,27.75,39.17,14.91,3,0,0,0,0,1,0.8,too many rejected orders,0,0,7.25,0,0,1,1
1692,12.964685156702263,77.6087500191349,10.8,2,2,1,5.86,1,12,1.58,2,18.7,13.69,0.0,18.7,11,0,0,1,1,0,1.0,genuine activity verified,0,0,1.72,0,0,0,0
2951,13.010182027289574,77.62035970714125,31.57,7,7,1,19.84,2,42,4.8,0,29.66,24.79,40.26,15.47,13,0,0,1,1,0,1.0,genuine activity verified,0,0,5.12,0,0,0,0
2389,12.970306515252192,77.62337100947681,40.37,5,4,1,11.72,3,20,2.8,3,47.81,36.55,36.75,11.26,10,0,0,0,1,0,1.0,genuine activity verified,0,1,3.12,0,0,0,1
2147,12.99282775752099,77.5484793847227,13.9,8,6,1,11.67,3,36,5.53,1,16.89,18.94,5.88,13.07,0,0,0,1,1,0,1.0,genuine activity verified,0,0,5.53,0,0,1,1
2264,12.9637598280862,77.55606671718122,82.27,6,0,0,0.59,6,23,4.27,1,75.97,92.1,78.73,16.14,12,1,1,1,0,1,0.8,worker not logged in,0,1,4.27,0,0,0,1
2421,12.957913884370718,77.55124414841578,57.29,5,0,1,1.38,8,16,4.38,1,56.41,45.01,70.45,25.44,16,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,0,4.94,0,0,0,0
1093,12.915323433375926,77.54131416977233,92.41,5,0,1,0.0,8,12,9.32,2,99.01,91.22,87.0,12.01,13,1,0,1,0,3,0.4,no deliveries completed; gps movement too low; too many rejected orders,0,1,8.51,1,0,0,1
1349,12.892490037505315,77.62641839499481,60.84,6,0,0,2.02,7,24,9.36,2,70.28,48.4,63.83,21.87,1,1,0,1,0,1,0.8,worker not logged in,0,0,9.45,0,0,1,1
1613,12.961137523957344,77.60620200366655,47.47,9,7,0,29.16,4,43,1.74,1,44.25,45.12,53.04,8.79,1,0,0,1,0,1,0.8,worker not logged in,0,1,1.71,0,0,1,0
1286,12.97385986767973,77.59777984252366,87.32,9,0,1,0.0,10,28,0.21,3,87.07,83.5,91.41,7.91,21,1,1,0,0,3,0.4,no deliveries completed; gps movement too low; too many rejected orders,0,1,0.43,0,0,0,0
2099,12.920154798531648,77.49089133938391,18.16,2,0,1,0.82,2,11,12.52,0,25.83,19.49,9.16,16.66,22,0,0,1,0,1,0.8,no deliveries completed,0,0,12.61,0,0,0,1
2671,13.052178419238011,77.7030357541763,33.07,5,0,1,2.45,7,13,14.65,3,39.47,33.73,26.01,13.47,0,0,0,0,0,2,0.6,no deliveries completed; too many rejected orders,0,0,14.77,0,0,1,1
2636,12.97375010251962,77.55882911983386,89.56,7,0,1,1.94,7,20,3.88,0,82.21,95.04,91.43,12.83,15,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,3.88,0,0,0,1
2177,12.885359679757626,77.67667251023755,60.28,7,0,1,2.44,10,28,13.07,3,55.76,65.62,59.47,9.86,13,1,0,0,0,2,0.6,no deliveries completed; too many rejected orders,0,1,13.08,0,0,0,0
3137,12.93499501362082,77.53663034077395,35.01,5,1,1,3.69,4,18,7.77,1,27.29,36.02,41.72,14.43,16,0,0,1,1,0,1.0,genuine activity verified,0,1,7.49,0,0,0,1
2413,12.98789055574942,77.56210395365774,62.96,6,0,1,3.13,8,13,4.04,0,64.68,68.79,55.4,13.38,8,1,1,1,0,2,0.6,no deliveries completed; too many rejected orders,0,1,3.96,0,0,0,0
1197,12.98708234917583,77.50648602469961,88.49,11,2,1,4.09,12,38,9.95,0,92.81,82.85,89.82,9.96,7,1,0,1,0,1,0.8,too many rejected orders,0,1,9.7,1,0,0,1
2912,12.92545300334401,77.6090849990377,70.46,9,2,1,5.87,7,26,5.36,1,79.3,67.93,64.14,15.16,17,1,0,1,0,1,0.8,too many rejected orders,0,1,5.37,0,0,0,0
2436,12.97793792201999,77.55054972716755,62.21,7,3,1,10.96,4,30,4.91,0,67.65,53.8,65.17,13.84,12,1,1,1,1,0,1.0,genuine activity verified,0,1,4.82,0,0,0,0
