Rainfall,AQI,Traffic,Temperature,Humidity,Snow_Ice,Thunderstorm,Flooding,Extreme_Heat,Severe_Pollution,Curfew,Market_Closure,Platform_Downtime,Delivery_Time,Orders,Payout
196.18,413,0.91,2.1,79,0,0,0,0,1,0,0,0,86.28,78,389.67
62.03,442,1.0,-2.1,27,1,0,0,0,1,0,0,0,100.35,156,527.47
150.89,3,0.13,9.0,45,0,0,1,0,0,0,0,0,92.18,191,593.78
46.15,201,0.24,-16.2,91,1,0,0,0,0,0,0,0,78.42,370,463.38
121.17,32,0.64,26.9,14,0,1,0,0,0,0,0,0,77.58,258,506.26
87.13,137,0.17,43.2,74,0,1,0,0,0,1,0,0,126.02,426,715.42
127.23,359,0.93,-13.1,39,1,0,1,0,0,0,1,0,153.18,5,1311.13
117.11,83,0.43,-4.3,82,0,0,0,0,0,0,0,0,59.77,316,200.66
48.8,255,0.38,24.4,5,0,1,0,0,0,0,0,0,57.62,431,169.31
64.71,432,0.88,39.4,35,0,1,0,0,1,0,0,0,77.51,282,452.78
188.75,241,0.32,-10.1,38,0,0,1,0,0,0,0,0,109.56,86,778.72
83.58,163,0.25,18.8,100,0,0,0,0,0,0,0,0,46.29,412,150.37
46.2,78,0.56,45.6,74,0,0,0,1,0,0,0,0,59.53,390,89.0
125.48,494,0.22,42.5,50,0,0,0,0,1,0,0,0,51.52,356,348.42
114.21,176,0.87,51.8,65,0,0,0,1,0,0,0,0,80.58,211,378.31
145.46,186,0.23,24.8,48,0,0,0,0,0,0,0,0,54.87,324,243.19
193.88,341,0.54,41.4,91,0,0,1,0,0,0,0,0,112.98,24,629.73
26.03,401,0.75,18.2,51,0,0,0,0,1,0,0,0,55.15,373,60.8
164.2,438,0.66,31.1,89,0,1,0,0,1,0,0,0,84.73,188,528.5
129.65,48,0.95,36.8,22,0,1,1,0,0,0,0,0,129.7,18,757.61
140.67,378,0.85,33.0,63,0,1,1,0,0,0,0,0,127.85,26,963.88
154.62,450,0.28,23.8,65,0,0,1,0,1,0,0,0,97.99,148,736.32
113.04,261,0.92,31.4,56,0,1,1,0,0,0,0,0,126.16,50,881.62
118.74,405,0.13,-13.7,13,1,0,0,0,1,0,0,0,84.21,289,733.68
65.27,436,0.94,-1.4,5,1,0,0,0,1,0,0,0,98.39,167,526.54
125.55,2,0.61,20.8,43,0,0,0,0,0,0,0,0,65.18,259,213.32
163.24,46,0.66,-13.4,41,0,0,1,0,0,0,1,0,119.29,40,1114.77
196.02,42,0.17,50.0,82,0,0,1,1,0,0,0,0,108.35,113,958.68
166.96,428,0.47,35.9,58,0,1,1,0,1,0,0,0,118.49,82,1141.13
110.43,270,0.96,15.7,56,0,1,1,0,0,0,0,0,127.16,44,858.07
82.17,354,0.32,44.2,6,0,1,0,0,0,0,0,0,60.53,396,397.19
30.71,369,0.53,26.8,32,0,0,0,0,0,0,0,0,48.16,421,0.0
46.8,357,0.79,9.3,42,0,0,0,0,0,0,0,0,59.67,332,0.0
168.98,92,0.96,19.7,30,0,1,0,0,0,0,0,0,95.95,106,439.78
155.25,454,0.37,39.9,92,0,1,1,0,1,0,0,0,113.24,124,1034.08
16.22,269,0.44,-2.3,77,1,0,0,0,0,1,0,0,143.98,365,639.8
141.27,50,0.89,48.4,38,0,1,0,1,0,0,0,0,97.34,165,616.13
168.03,3,0.93,46.8,95,0,1,0,1,0,0,0,0,102.75,115,677.85
123.48,339,0.78,17.9,28,0,1,1,0,0,0,0,0,122.82,69,971.72
194.43,188,0.97,35.7,8,0,1,1,0,0,0,0,0,140.11,5,935.69
9.27,319,0.44,3.6,95,0,0,0,0,0,0,0,0,41.79,476,0.0
123.65,490,0.37,0.2,89,1,0,0,0,1,0,0,0,86.5,222,640.63
49.52,10,0.3,-12.0,6,0,0,0,0,0,0,0,0,48.93,450,135.0
174.62,199,0.63,-19.9,46,1,0,1,0,0,0,0,0,153.19,5,1140.46
139.34,431,0.9,19.9,24,0,1,0,0,1,0,0,0,89.4,165,494.47
123.91,317,0.45,2.4,80,0,0,1,0,0,0,0,0,99.34,151,633.23
118.68,490,0.82,-7.5,62,1,0,1,0,1,0,0,0,145.25,5,1232.54
75.29,95,0.37,34.6,43,0,1,0,0,0,0,0,0,61.24,394,381.78
11.15,291,0.37,39.4,35,0,0,0,0,0,0,0,0,39.62,490,0.0
131.18,59,0.41,27.1,65,0,0,1,0,0,0,0,0,99.03,150,549.62
26.36,400,0.8,33.7,48,0,0,0,0,0,0,0,0,56.95,360,0.0
126.83,204,0.54,-12.9,23,1,0,0,0,0,0,0,0,99.37,174,666.17
106.93,168,0.45,5.9,62,0,0,0,0,0,0,0,0,56.79,327,185.4
17.67,215,0.62,-8.8,70,1,0,0,0,0,0,1,0,83.75,318,571.36
121.41,132,0.24,-1.5,31,1,0,1,0,0,0,0,0,122.36,107,952.97
93.11,403,0.93,28.8,94,0,0,0,0,1,0,0,1,71.52,227,428.85
60.27,92,0.84,23.0,64,0,1,0,0,0,0,0,0,75.44,299,399.24
20.35,169,0.87,27.1,20,0,0,0,0,0,0,0,0,58.5,351,0.0
10.9,135,0.83,-9.9,67,0,0,0,0,0,0,0,0,60.63,376,124.5
137.67,24,0.77,-14.7,70,0,0,0,0,0,0,0,0,79.95,200,380.0
148.83,56,0.22,9.0,92,0,0,0,0,0,0,0,0,55.02,321,248.25
157.49,317,0.53,-1.5,6,1,0,0,0,0,0,0,0,97.92,131,558.91
48.96,322,0.39,-5.2,10,0,0,0,0,0,0,0,0,48.59,429,101.0
153.4,371,0.25,37.7,54,0,1,1,0,0,0,0,0,108.76,157,844.38
194.09,101,0.61,16.3,48,0,0,1,0,0,0,0,0,115.46,6,627.33
109.88,285,0.51,20.7,79,0,1,0,0,0,0,0,0,71.33,307,432.1
118.8,380,0.99,-7.8,95,0,0,0,0,0,0,0,0,81.37,174,317.2
13.15,451,0.26,5.4,20,0,0,0,0,1,0,0,0,36.07,515,100.8
149.9,7,0.67,-1.9,41,0,0,0,0,0,0,0,0,71.89,207,249.85
39.74,269,0.9,27.8,62,0,0,0,0,0,0,0,0,62.46,315,0.0
96.43,55,0.95,3.1,100,0,0,1,0,0,0,0,0,112.71,67,506.27
175.95,195,0.96,36.4,33,0,1,0,0,0,0,0,0,96.99,96,501.56
130.47,198,0.45,2.4,27,0,0,1,0,0,0,0,0,100.32,141,667.46
58.2,173,0.21,44.7,54,0,1,0,0,0,0,0,0,53.08,460,384.73
54.09,235,0.71,23.6,32,0,0,0,0,0,0,0,0,57.96,341,106.14
97.33,411,0.99,-4.8,89,1,0,0,0,1,0,0,0,106.65,106,521.87
103.74,350,0.49,22.1,58,0,1,0,0,0,0,0,0,69.71,321,336.1
182.3,189,0.9,-5.6,63,1,0,1,0,0,0,0,0,156.64,5,1116.04
154.07,497,0.27,14.0,47,0,0,0,0,1,0,0,0,57.56,301,393.71
100.3,310,0.21,2.1,70,0,0,1,0,0,0,0,0,87.4,247,609.18
194.11,321,0.62,0.1,94,1,0,1,0,0,0,0,0,145.82,5,961.79
100.29,411,0.99,34.2,92,0,0,1,0,1,0,0,0,114.69,52,632.55
187.31,276,0.99,15.0,21,0,0,0,0,0,0,0,0,87.75,71,305.97
16.74,239,0.31,39.2,32,0,0,0,0,0,0,0,0,38.36,497,0.0
164.91,272,0.29,-12.3,15,1,0,1,0,0,0,0,0,136.04,30,1039.15
193.65,273,0.46,39.4,56,0,1,0,0,0,0,0,0,82.15,194,474.03
102.07,223,0.33,15.6,13,0,1,1,0,0,0,0,0,103.86,214,815.58
164.68,193,0.88,13.6,65,0,0,1,0,0,0,0,0,120.5,5,606.0
144.5,271,0.59,7.2,72,0,0,0,0,0,0,0,0,67.33,235,241.75
41.15,386,0.24,32.8,93,0,0,0,0,0,0,0,0,39.57,478,0.0
82.79,51,0.74,46.2,50,0,0,0,1,0,0,0,0,71.32,290,247.19
94.61,267,0.21,-13.4,88,1,0,0,0,0,0,0,0,83.24,305,630.17
116.25,489,0.54,-5.9,47,1,0,0,0,1,0,0,0,94.29,190,768.92
60.56,176,0.44,10.3,76,0,0,0,0,0,0,0,0,49.48,399,115.84
94.97,238,0.98,15.5,30,0,1,0,0,0,0,0,0,85.55,212,369.82
64.54,127,0.53,44.4,29,0,1,0,0,0,0,0,0,65.23,370,345.19
38.56,229,0.48,10.0,74,0,0,0,0,0,0,0,0,47.58,422,0.0
149.9,116,0.81,30.3,34,0,0,0,0,0,0,0,0,75.84,172,249.85
34.02,299,0.51,42.5,94,0,0,0,0,0,0,0,0,47.95,421,0.0
121.89,64,0.59,-4.8,59,0,0,1,0,0,0,0,0,106.33,119,660.66
112.77,62,0.15,46.3,14,0,1,1,1,0,0,0,0,107.17,243,968.3
56.89,134,0.19,24.3,83,0,0,0,0,0,0,0,1,40.18,467,263.1
122.23,307,0.61,-2.0,95,0,0,0,0,0,0,0,0,65.68,264,208.34
11.5,387,0.97,38.2,9,0,0,0,0,0,0,0,0,60.67,340,0.0
4.15,478,0.17,43.5,19,0,0,0,0,1,0,0,0,31.57,551,122.4
11.06,381,0.22,34.2,37,0,0,0,0,0,0,0,0,34.36,528,0.0
192.09,327,0.11,-6.5,15,0,0,1,0,0,0,0,0,100.91,134,842.52
87.27,37,0.54,46.2,53,0,0,0,1,0,0,0,0,64.99,334,253.91
84.26,226,0.66,-0.6,21,1,0,1,0,0,0,1,0,131.04,58,1220.4
188.37,43,0.55,26.9,57,0,0,0,0,0,0,0,0,72.51,179,307.56
72.83,443,0.92,35.0,99,0,0,0,0,1,0,1,0,68.12,260,444.95
147.04,494,0.55,6.2,73,0,0,0,0,1,0,0,0,66.31,241,380.76
54.4,207,0.88,50.9,89,0,1,0,1,0,0,0,0,83.96,298,533.27
146.49,231,0.92,-9.5,60,0,0,0,0,0,0,0,0,83.92,150,367.24
42.24,424,0.76,30.8,47,0,1,0,0,1,0,0,0,69.94,346,329.01
5.94,387,0.88,-5.4,19,0,0,0,0,0,0,0,0,59.39,371,102.0
91.72,479,0.77,37.9,64,0,1,1,0,1,0,0,0,117.71,119,911.53
127.05,468,0.6,3.7,29,0,0,0,0,1,0,0,1,65.06,259,478.04
181.45,448,0.41,36.4,49,0,1,1,0,1,0,0,0,118.57,75,1113.18
21.35,274,0.83,-6.2,6,1,0,0,0,0,0,0,0,90.35,260,406.34
64.11,69,0.36,16.4,55,0,1,0,0,0,0,0,0,59.22,413,290.34
125.12,322,0.54,49.8,42,0,0,0,1,0,0,0,0,70.67,277,364.68
153.67,315,0.35,24.6,75,0,1,0,0,0,0,0,0,72.3,281,442.24
35.07,322,0.93,-5.6,6,0,0,0,0,0,0,0,0,65.61,314,103.0
34.88,488,0.58,8.6,65,0,0,0,0,1,0,0,1,50.53,402,279.45
31.1,196,0.91,-18.2,30,1,0,0,0,0,0,0,0,100.62,225,420.13
174.0,61,0.54,-17.6,35,1,0,0,0,0,0,0,0,108.8,104,781.82
45.03,388,0.84,51.4,95,0,0,0,1,0,0,0,0,69.15,322,176.0
85.34,2,0.52,22.2,90,0,1,1,0,0,0,0,0,108.0,191,716.71
114.69,332,0.68,14.2,27,0,0,1,0,0,0,0,0,106.0,107,670.82
166.77,134,0.31,-9.0,63,0,0,0,0,0,0,0,0,65.37,272,395.16
151.04,53,0.24,-10.2,55,1,0,1,0,0,0,0,0,131.16,63,1190.83
100.68,306,0.33,-14.0,7,0,0,0,0,0,0,0,0,58.65,366,321.02
58.08,412,0.24,14.9,88,0,0,0,0,1,0,0,0,42.11,452,181.72
178.3,374,0.32,-16.1,39,1,0,0,0,0,0,0,0,101.0,152,710.84
86.11,456,0.68,41.9,69,0,0,1,0,1,0,0,0,101.72,150,575.58
152.07,76,0.46,-10.7,81,1,0,1,0,0,0,1,0,139.26,6,1423.44
127.59,19,0.65,36.4,73,0,0,1,0,0,0,0,0,106.89,96,524.35
117.07,414,0.24,23.8,33,0,0,0,0,1,0,0,0,50.96,364,271.81
133.3,63,0.91,31.6,61,0,1,0,0,0,0,0,0,88.84,172,450.03
191.57,222,0.38,31.0,55,0,0,0,0,0,0,0,0,67.04,217,312.36
42.26,377,0.79,9.4,97,0,0,0,0,0,0,0,0,58.99,339,0.0
42.57,228,0.66,31.9,27,0,0,0,0,0,0,0,0,54.49,371,0.0
147.4,18,0.75,-17.1,38,1,0,1,0,0,0,0,0,151.91,5,1058.01
145.82,495,0.45,18.1,64,0,0,0,0,1,0,0,0,62.62,268,379.73
5.77,158,0.51,33.5,23,0,0,0,0,0,0,0,0,43.72,463,0.0
1.33,332,0.44,-19.6,98,1,0,0,0,0,0,0,0,80.4,388,488.58
91.63,372,0.19,-12.2,72,0,0,1,0,0,0,1,0,91.49,265,836.11
71.4,2,0.49,37.4,93,0,0,0,0,0,0,0,0,52.86,370,132.1
147.94,173,0.58,-10.6,64,0,0,0,0,0,0,0,0,72.79,233,374.91
155.88,318,0.54,28.7,66,0,1,0,0,0,0,0,0,79.28,231,441.0
105.9,408,0.65,-5.1,53,1,0,1,0,1,0,0,0,136.19,28,987.7
101.67,447,0.46,12.6,28,0,0,1,0,1,0,0,0,96.35,182,589.9
95.68,73,0.39,16.9,5,0,1,1,0,0,0,0,0,105.0,208,915.31
145.84,268,0.78,45.9,14,0,1,1,1,0,0,0,0,134.18,36,1038.51
35.73,452,0.32,47.1,27,0,0,0,1,1,0,0,0,49.56,466,213.1
71.42,252,0.15,13.1,47,0,0,0,0,0,0,0,0,40.96,455,132.13
103.66,50,0.54,-19.6,16,1,0,0,0,0,0,0,0,99.25,209,604.58
100.28,484,0.71,49.1,7,0,1,0,1,1,0,0,0,84.89,272,614.39
143.2,429,0.9,12.3,84,0,0,1,0,1,0,0,0,117.98,10,624.09
182.65,41,0.49,35.9,91,0,0,1,0,0,0,0,0,109.55,53,699.82
136.2,129,0.6,29.4,13,0,0,0,0,0,0,0,0,66.43,245,229.3
19.79,162,0.29,-17.2,49,1,0,0,0,0,0,0,0,76.72,397,508.3
4.74,21,0.82,-11.5,9,1,0,0,0,0,0,0,0,90.16,287,435.44
36.02,139,0.3,35.9,85,0,0,0,0,0,0,0,0,40.9,470,0.0
175.54,298,0.9,38.1,17,0,1,1,0,0,0,0,1,134.83,5,999.0
27.75,218,0.44,17.0,60,0,0,0,0,0,0,0,0,44.56,448,0.0
71.75,102,0.43,29.6,6,0,0,0,0,0,0,0,0,50.81,384,132.62
31.7,157,0.88,49.0,14,0,0,0,1,0,0,0,0,68.55,332,140.0
71.48,400,0.44,37.5,62,0,1,0,0,0,0,0,0,63.12,382,407.85
141.2,340,0.22,36.8,73,0,1,0,0,0,0,0,0,65.88,333,473.19
79.7,277,0.66,49.1,56,0,0,0,1,0,0,0,0,68.06,315,286.05
55.72,439,0.61,-8.7,68,0,0,0,0,1,0,0,0,59.06,363,318.28
156.21,126,0.42,41.6,72,0,1,0,0,0,0,0,0,75.13,260,494.8
39.72,402,0.23,3.8,30,0,0,0,0,1,0,0,0,39.01,482,61.6
39.74,114,0.89,13.7,51,0,0,0,0,0,0,0,0,62.11,317,0.0
28.2,450,0.29,26.7,56,0,0,0,0,1,0,0,0,39.38,485,100.0
179.07,404,0.14,3.2,47,0,0,0,0,1,0,0,0,56.76,296,356.81
175.11,274,0.42,48.5,99,0,1,0,1,0,0,0,0,85.97,232,655.31
158.65,320,0.17,1.7,23,0,0,1,0,0,0,0,0,94.75,169,738.83
81.18,102,0.81,38.7,76,0,0,1,0,0,0,0,0,105.53,125,592.76
58.77,300,0.3,23.5,83,0,0,0,0,0,0,0,0,44.32,436,113.16
194.83,72,0.53,-18.9,19,0,0,0,0,0,0,0,0,82.22,175,486.75
130.02,140,0.91,-11.2,81,1,0,0,0,0,0,0,0,111.95,77,660.54
16.44,79,0.53,-8.5,74,1,0,0,0,0,0,0,0,80.27,342,401.5
83.47,357,0.7,-10.7,58,1,0,1,0,0,0,0,0,137.37,49,1050.8
119.32,408,0.35,26.0,9,0,1,0,0,1,0,1,0,67.15,333,796.01
158.88,219,0.41,5.5,36,0,0,1,0,0,0,0,0,103.18,109,715.7
117.71,446,0.75,-13.7,47,1,0,1,0,1,0,0,0,145.76,5,1001.31
45.97,453,0.84,15.2,18,0,0,0,0,1,0,0,0,61.3,321,102.4
123.93,10,0.7,-11.1,31,0,0,1,0,0,0,0,0,113.64,89,771.35
44.32,21,0.36,13.7,90,0,0,0,0,0,0,0,0,44.25,443,0.0
106.05,406,0.6,-6.5,88,1,0,0,0,1,0,0,0,95.16,190,677.13
5.72,158,0.27,12.9,28,0,0,0,0,0,0,0,0,35.31,523,0.0
56.2,424,0.63,7.6,48,0,0,0,0,1,0,0,0,55.48,358,188.5
58.16,342,0.64,-10.7,32,1,0,0,0,0,0,0,0,91.47,252,548.14
95.22,335,0.15,1.1,58,0,0,1,0,0,0,0,0,84.53,269,504.34
41.69,377,0.69,50.7,98,0,1,0,1,0,0,0,0,75.4,364,436.2
92.18,159,0.4,18.6,75,0,1,0,0,0,0,0,0,64.83,361,327.07
17.88,162,0.58,-2.7,63,1,0,0,0,0,0,0,0,79.33,328,316.89
60.2,475,0.95,12.6,39,0,0,0,0,1,0,0,0,67.28,272,235.3
27.61,105,0.61,28.6,66,0,0,0,0,0,0,0,0,50.49,406,0.0
127.65,253,0.98,27.5,100,0,1,1,0,0,0,0,0,130.45,13,804.6
30.37,204,0.43,27.0,74,0,0,0,0,0,0,0,0,44.61,446,0.0
156.88,99,0.78,17.9,29,0,1,0,0,0,0,0,0,87.83,169,545.87
146.46,128,0.83,28.1,67,0,0,0,0,0,0,0,0,76.02,172,244.69
40.49,481,0.48,35.5,85,0,0,0,0,1,0,0,0,47.87,419,124.8
76.64,295,0.51,39.2,12,0,1,0,0,0,1,0,0,136.35,357,671.35
91.65,214,0.99,8.5,67,0,0,1,0,0,0,0,0,113.4,65,580.84
54.87,481,0.28,45.0,88,0,1,0,0,1,0,1,0,55.03,447,606.78
31.25,90,0.12,35.5,42,0,0,0,0,0,0,0,0,33.89,523,0.0
97.17,58,0.13,2.4,39,0,0,0,0,0,0,0,0,44.13,421,170.75
65.09,244,0.27,31.8,78,0,1,0,0,0,0,0,0,56.21,434,397.54
178.11,81,0.59,5.5,8,0,0,1,0,0,0,0,0,112.37,35,657.27
177.0,481,0.73,10.4,33,0,0,0,0,1,0,0,0,77.1,152,415.3
134.74,291,0.57,50.2,40,0,1,0,1,0,0,0,0,85.16,255,596.71
146.6,58,0.8,-3.7,27,1,0,1,0,0,0,0,0,146.84,5,878.35
98.43,357,0.76,50.9,86,0,1,0,1,0,0,0,0,86.36,262,568.72
118.63,318,0.51,-19.5,8,1,0,1,0,0,0,0,0,140.39,44,999.2
196.42,190,0.79,51.3,30,0,0,1,1,0,0,0,0,130.11,5,977.08
120.98,127,0.7,42.9,29,0,1,1,0,0,0,0,0,119.65,93,863.57
124.9,279,0.37,-13.8,36,1,0,0,0,0,0,0,0,93.59,220,627.23
188.18,427,0.15,-5.1,46,1,0,1,0,1,0,0,0,131.03,30,1144.4
145.22,32,0.2,6.3,94,0,0,0,0,0,0,0,0,53.78,332,242.83
178.19,41,0.8,39.2,42,0,1,1,0,0,0,0,0,131.73,5,941.84
157.92,363,0.24,37.1,55,0,0,1,0,0,0,0,0,97.09,153,642.71
5.03,223,0.89,3.3,69,0,0,0,0,0,0,0,0,56.9,369,0.0
189.04,73,0.49,33.4,47,0,1,1,0,0,0,0,0,122.51,43,1031.91
74.96,264,0.41,33.4,58,0,0,0,0,0,0,0,0,50.59,385,137.44
36.03,266,0.87,12.8,99,0,0,0,0,0,0,0,0,60.85,328,0.0
93.13,144,0.11,43.4,88,0,1,1,0,0,0,0,0,94.82,282,812.48
5.68,165,0.63,12.9,17,0,0,0,0,0,0,0,0,47.9,433,0.0
136.24,210,0.62,-0.8,64,1,0,0,0,0,0,0,0,97.54,140,492.07
137.0,240,0.44,-11.7,32,0,0,0,0,0,0,0,0,66.8,284,364.0
12.56,372,0.74,-10.8,20,1,0,0,0,0,0,0,0,88.18,296,396.2
124.43,119,0.3,0.7,54,1,0,0,0,0,0,0,0,84.16,238,473.71
22.23,226,0.76,21.5,59,0,0,0,0,0,0,0,0,54.93,376,0.0
33.5,203,0.61,17.0,93,0,0,0,0,0,0,0,0,51.37,397,0.0
81.3,294,0.47,27.3,34,0,1,1,0,0,0,0,0,105.64,210,832.58
19.42,215,0.27,-17.6,44,1,0,0,0,0,0,0,0,76.16,403,502.65
99.53,257,0.14,37.1,56,0,1,0,0,0,0,0,0,56.83,415,408.24
176.26,57,0.84,-2.0,79,0,0,0,0,0,0,0,0,81.84,125,289.39
153.13,315,0.92,19.2,85,0,0,1,0,0,0,0,0,120.17,5,602.29
188.75,324,0.78,17.7,62,0,0,0,0,0,0,0,0,80.61,121,308.12
174.35,187,0.84,5.0,10,0,0,1,0,0,0,0,0,120.55,5,638.96
95.87,126,0.9,-3.8,40,0,0,0,0,0,0,0,0,72.78,231,168.81
170.14,462,0.24,-19.5,33,0,0,1,0,1,0,0,0,108.67,134,930.12
111.54,120,0.16,25.7,30,0,0,0,0,0,0,0,0,47.33,392,192.31
13.52,2,0.19,32.3,88,0,0,0,0,0,0,0,0,33.68,532,0.0
18.41,328,0.66,30.3,95,0,0,0,0,0,0,0,0,50.86,407,0.0
51.17,277,0.66,39.4,31,0,0,0,0,0,0,0,0,55.78,358,101.75
45.89,475,0.44,23.2,78,0,1,0,0,1,0,0,0,59.28,421,339.52
63.22,485,0.71,17.5,40,0,1,0,0,1,0,0,0,71.33,327,436.6
69.15,99,0.51,6.3,75,0,0,0,0,0,0,0,0,53.22,368,128.73
71.4,316,0.97,21.4,65,0,1,0,0,0,0,0,0,81.66,250,373.24
127.74,356,0.68,9.9,25,0,0,1,0,0,0,0,0,107.96,88,666.44
99.07,336,0.44,8.2,51,0,0,1,0,0,0,0,0,95.26,191,659.23
139.88,204,0.67,20.5,82,0,1,1,0,0,0,0,0,121.43,72,903.45
67.8,337,0.22,-12.2,42,1,0,0,0,0,0,0,0,78.97,343,558.0
81.49,422,0.97,-12.5,23,1,0,0,0,1,0,0,0,107.42,135,641.14
165.04,274,0.25,-9.0,23,0,0,0,0,0,0,0,0,63.01,289,392.56
153.1,232,0.9,2.2,16,0,0,1,0,0,0,0,0,119.47,5,704.6
175.81,154,0.47,47.3,56,0,1,0,1,0,0,0,0,87.82,218,696.79
182.12,430,0.35,24.1,48,0,1,1,0,1,0,0,0,116.57,89,982.31
8.87,449,0.3,22.1,71,0,0,0,0,1,0,0,0,36.83,511,99.2
107.53,481,0.73,21.2,23,0,0,0,0,1,0,0,0,66.68,256,311.1
